;NR;TYP;KBEZ;LBEZ;GPS_LAENGE;GPS_BREITE
0;30801;1;BODAN1;Bodan;0090855802;0474115975
1;30802;1;BODAN2;Bodan ;0090854804;0474116839
2;31101;1;BODRIED1;Bodan/Riedstraße ;0090854034;0474110529
3;31102;1;BODRIED2;Bodan/Riedstraße ;0090854201;0474110941
4;6101;1;BHFWOLL1;Bahnhof Wollmatingen;0090850106;0474055272
5;61002;1;BHFWOLL2;Bahnhof Wollmatingen;0090850427;0474055346
6;30901;1;HARDFÜ1;Hardtstr. / Fürstenberg;0090915356;0474106870
7;30902;1;HARDTFÜ2;Hardtstr. / Fürstenberg;0090910565;0474109411
8;32201;1;HEROSE1;Herosestraße;0090927072;0474100167
9;32202;1;HEROSE2;Herosestraße;0090923115;0474102925
10;30501;1;GUTENBG1;Gutenbergweg;0090941244;0474112865
11;30502;1;GUTENBG2;Gutenbergweg ;0090940357;0474111279
12;30402;1;GSS2;Geschwister-Scholl-Schule;0090949098;0474117947
13;30702;1;BUHLSÜ2;Buhlenweg;0090929048;0474058861
14;31502;1;BRESWES;Breslauer Straße West;0090858011;0474108150
15;31601;1;BRESOST;Breslauer Straße Ost;0090907599;0474105185
16;110401;1;BODANPL1;Bodanplatz;0091026757;0473929062
17;110402;1;BODANPL2;Bodanplatz;0091024731;0473929546
18;110501;1;SCHNETZT;Schnetztor;0091017940;0473930160
19;40801;1;DINGMI1;Dingelsdorf / Ortsmitte;0090921262;0474419503
20;40802;1;DINGMI2;Dingelsdorf / Ortsmitte;0090921599;0474419745
21;30302;1;SCHWAKB2;Schwaketenbad;0090937659;0474116147
22;30601;1;BUHLEN1;Buhlenweg;0090931480;0474101511
23;10001;1;STAAD1;Staad / Autofähre;0091240336;0474055178
24;10101;1;JUGENDH1;Jugendherberge;0091200728;0474105692
25;10102;1;JUGENDH2;Jugendherberge;0091159705;0474105923
26;10201;1;EGG1;Egg/Universität;0091129552;0474126933
27;10202;1;EGG2;Egg/Universität;0091124960;0474130310
28;10301;1;ALLMANN1;Allmannsdorf ;0091208663;0474055352
29;10302;1;ALLMANN2;Allmannsdorf;0091209478;0474056201
30;10401;1;STEIG1;An der Steig;0091205305;0474047673
31;10402;1;STEIG2;An der Steig;0091203908;0474045516
32;20001;1;WOLLMRA1;Wollmatingen / Rathaus;0090845611;0474130800
33;20002;1;WOLLMRA2;Wollmatingen / Rathaus;0090845776;0474130798
34;20101;1;WORADOL1;Wollmatingen / Radolfzeller Str.;0090830562;0474139458
35;20102;1;WORADOL2;Wollmatingen / Radolfzeller Str.;0090830343;0474139587
36;20201;1;WOLLKIN1;Wollmatingen / Kindlebildstr.;0090844314;0474128917
37;20202;1;WOLLKIN2;Wollmatingen / Kindlebildstr.;0090842681;0474129332
38;20301;1;FEUR1;Feursteinstraße;0090803802;0474125182
39;20302;1;FEUR2;Feursteinstraße;0090803076;0474125399
40;20501;1;LITZ1;Litzelstetter Straße;0090904853;0474136324
41;20502;1;LITZ2;Litzelstetter Straße;0090906026;0474137182
42;20601;1;BETT1;Am Bettenberg ;0090927624;0474156182
43;20602;1;BETT2;Am Bettenberg;0090927912;0474156709
44;30001;1;URISBER1;Urisberg;0090904374;0474123795
45;30101;1;SCHWAK1;Schwaketenstraße;0090913735;0474120769
46;30102;1;SCHWAK2;Schwaketenstraße;0090909058;0474121834
47;30201;1;GABELSB1;Gabelsbergerstraße;0090927943;0474117349
48;30202;1;GABELSB2;Gabelsbergerstraße;0090924539;0474118294
49;31001;1;FÜRS1;Fürstenberg;0090945545;0474050120
50;31002;1;FÜRS2;Fürstenberg;0090942732;0474051638
51;31201;1;BRANDEN1;Brandenburger Straße;0090846689;0474108629
52;31301;1;RIEDS1;Riedstraße;0090850585;0474103793
53;31302;1;RIEDS2;Riedstraße;0090850786;0474104063
54;31401;1;KARLS1;Karlsruher Straße;0090856847;0474103809
55;31802;1;REUTFR2;Reute-/ Freibürgleweg;0090908847;0474057365
56;32001;1;REUWINK1;Reute- / Winkelstraße;0090923267;0474051225
57;32002;1;REUWINK2;Reute- / Winkelstraße;0090919374;0474052973
58;32101;1;ELBER1;Elberfeldstraße;0090935343;0474048739
59;32102;1;ELBER2;Elberfeldstraße;0090934925;0474048299
60;32501;1;TABOR1;Taborweg;0091010735;0474045136
61;32502;1;TABOR2;Taborweg;0091005783;0474046300
62;40001;1;DETTKI1;Dettingen / Kinderspielplatz;0090704572;0474353144
63;40002;1;DETTKI2;Dettingen / Kinderspielplatz;0090705321;0474356152
64;40101;1;DETTORT1;Dettingen / Ortsmitte;0090700158;0474410238
65;40102;1;DETTORT2;Dettingen / Ortsmitte;0090700070;0474410683
66;40201;1;DETTFEU1;Dettingen / Feuerwehr;0090700301;0474417864
67;40202;1;DETTFEU2;Dettingen / Feuerwehr;0090700422;0474416845
68;40301;1;WALLHBI1;Wallhausen / Birnaublick;0090745111;0474449619
69;40302;1;WALLHBI2;Wallhausen / Birnaublick;0090745526;0474449540
70;40401;1;WALLHLI1;Wallhausen / Linzgaublick;0090757983;0474445322
71;40501;1;WALLHHA1;Wallhausen / Hafen;0090811821;0474446184
72;40502;1;WALLHHA2;Wallhausen / Hafen;0090807052;0474448730
73;40601;1;DINGKL1;Dingelsdorf / Klausenhorn;0090853433;0474433081
74;40602;1;DINGKL2;Dingelsdorf / Klausenhorn;0090851122;0474433871
75;40701;1;DINGWAL1;Dingelsdorf / Wallhauser Str.;0090907662;0474425776
76;40702;1;DINGWAL2;Dingelsdorf / Wallhauser Str.;0090906257;0474426340
77;40901;1;OBERDOR1;Oberdorf;0090928891;0474339158
78;40902;1;OBERDOR2;Oberdorf;0090928616;0474341518
79;41001;1;LITZPU1;Litzelstetten / Zum Purren;0091019128;0474255165
80;41002;1;LITZPU2;Litzelstetten / Zum Purren;0091019432;0474254968
81;41101;1;LITZTA1;Litzelstetten / Tankstelle;0091023784;0474244133
82;41102;1;LITZTA2;Litzelstetten / Tankstelle;0091023368;0474242617
83;41201;1;LITZWA1;Litzelstetten / Waldfriedhof;0091015033;0474231426
84;41202;1;LITZWA2;Litzelstetten / Waldfriedhof;0091015596;0474231381
85;41301;1;MAINAU1;Mainau;0091101874;0474203987
86;50101;1;FREIHOR1;Freibad Horn;0091252803;0474000749
87;50201;1;BODTHE1;Bodensee-Therme Konstanz;0091230047;0473953009
88;50301;1;KLINIK1;Kliniken Schmieder;0091215945;0473957865
89;50302;1;KLINIK2;Kliniken Schmieder;0091214718;0473957465
90;50401;1;ROSENAU1;Rosenau;0091155386;0474001514
91;50402;1;ROSENAU2;Rosenau;0091156127;0474001074
92;50501;1;HEBELST1;Hebelstraße;0091133202;0474008027
93;50502;1;HEBELST2;Hebelstraße;0091134521;0474007542
94;60101;1;STW1;Stadtwerke;0090948648;0474030780
95;60102;1;STW2;Stadtwerke;0090948158;0474031138
96;60301;1;STROMEY1;Stromeyersdorf;0090934323;0474021902
97;60302;1;STROMEY2;Stromeyersdorf;0090931251;0474022769
98;60402;1;LINEEI2;Line-Eid-Straße;0090917669;0474023020
