;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;LAENGE;GEBKOERPER
0;6101;1;60801;1;669;
1;6101;1;60901;1;266;
2;6101;1;61002;1;443;
3;10001;1;10301;1;742;
4;10002;1;10102;1;1139;
5;10003;1;10301;1;715;
6;10101;1;10301;1;429;
7;10102;1;10202;1;1232;
8;10201;1;10101;1;1116;
9;10202;1;41302;1;1373;
10;10301;1;10401;1;248;
11;10302;1;10002;1;544;
12;10302;1;10004;1;755;
13;10302;1;10102;1;428;
14;10401;1;91701;1;783;
15;10401;1;91802;1;728;
16;10402;1;10302;1;351;
17;20001;1;6101;1;1187;
18;20001;1;30801;1;535;
19;20001;1;30911;1;381;
20;20001;1;31101;1;690;
21;20001;1;32201;1;1354;
22;20002;1;20102;1;449;
23;20002;1;20502;1;510;
24;20002;1;222222;4;125;
25;20101;1;20001;1;440;
26;20102;1;30911;1;1666;
27;20201;1;31101;1;645;
28;20202;1;20302;1;886;
29;20301;1;20201;1;909;
30;20302;1;20401;1;639;
31;20401;1;20301;1;499;
32;20501;1;20001;1;537;
33;20502;1;20602;1;773;
34;20601;1;20501;1;790;
35;20602;1;41202;1;1623;
36;30001;1;30101;1;245;
37;30101;1;30201;1;314;
38;30102;1;30002;1;183;
39;30102;1;30912;1;128;
40;30201;1;30501;1;377;
41;30202;1;30102;1;340;
42;30302;1;20002;1;1254;
43;30302;1;30202;1;282;
44;30401;1;30302;1;150;
45;30401;1;30501;1;173;
46;30402;1;90102;1;1908;
47;30501;1;30601;1;417;
48;30502;1;30302;1;237;
49;30502;1;30402;1;318;
50;30601;1;31001;1;558;
51;30601;1;32202;1;261;
52;30702;1;30502;1;466;
53;30801;1;30901;1;495;
54;30802;1;20002;1;501;
55;30901;1;32201;1;323;
56;30902;1;30802;1;401;
57;30911;1;30101;1;356;
58;30912;1;20002;1;503;
59;30912;1;31101;1;652;
60;31001;1;32501;1;545;
61;31001;1;60305;1;1315;
62;31002;1;30702;1;373;
63;31002;1;32102;1;257;
64;31002;1;32202;1;549;
65;31101;1;31301;1;221;
66;31101;1;31401;1;307;
67;31102;1;20002;1;679;
68;31102;1;20202;1;674;
69;31201;1;31401;1;316;
70;31301;1;6101;1;265;
71;31302;1;31102;1;224;
72;31401;1;30901;1;548;
73;31401;1;31901;1;287;
74;31502;1;6101;1;548;
75;31502;1;31102;1;150;
76;31502;1;31202;1;298;
77;31601;1;31502;1;220;
78;31802;1;31601;1;322;
79;31901;1;32001;1;456;
80;32001;1;32101;1;357;
81;32002;1;31802;1;258;
82;32101;1;31001;1;294;
83;32102;1;32002;1;434;
84;32201;1;30502;1;510;
85;32201;1;31001;1;503;
86;32201;1;70601;1;1448;
87;32202;1;20002;1;1233;
88;32202;1;30902;1;330;
89;32202;1;31601;1;456;
90;32501;1;70601;1;399;
91;32502;1;31002;1;509;
92;32502;1;60305;1;1602;
93;40001;1;333333;4;3999;
94;40002;1;40102;1;474;
95;40101;1;40001;1;553;
96;40102;1;40202;1;199;
97;40201;1;40101;1;244;
98;40202;1;40302;1;1626;
99;40301;1;40201;1;1588;
100;40302;1;40404;1;313;
101;40401;1;40301;1;440;
102;40404;1;40501;1;369;
103;40501;1;40601;1;955;
104;40502;1;40401;1;260;
105;40601;1;40701;1;380;
106;40602;1;40502;1;1030;
107;40701;1;40801;1;407;
108;40702;1;40602;1;400;
109;40801;1;408111;1;212;
110;40802;1;40702;1;434;
111;40901;1;41001;1;1737;
112;40902;1;408112;1;973;
113;41001;1;41101;1;389;
114;41002;1;40902;1;1816;
115;41101;1;41201;1;444;
116;41102;1;41002;1;429;
117;41201;1;20601;1;1633;
118;41201;1;41301;1;1894;
119;41202;1;41102;1;391;
120;41301;1;10201;1;1619;
121;41302;1;41202;1;1921;
122;50101;1;500021;1;376;
123;50201;1;50101;1;678;
124;50201;1;500021;1;316;
125;50301;1;50401;1;458;
126;50302;1;50201;1;412;
127;50401;1;50501;1;503;
128;50402;1;50302;1;412;
129;50501;1;91301;1;445;
130;50502;1;50402;1;493;
131;60101;1;70404;1;591;
132;60101;1;70701;1;637;
133;60102;1;60306;1;558;
134;60102;1;60702;1;613;
135;60221;1;61501;1;240;
136;60222;1;60305;1;400;
137;60301;1;60305;1;437;
138;60302;1;60402;1;361;
139;60305;1;31002;1;1378;
140;60305;1;32501;1;1680;
141;60305;1;60101;1;515;
142;60305;1;60702;1;618;
143;60306;1;60221;1;428;
144;60306;1;60302;1;478;
145;60401;1;60301;1;412;
146;60402;1;60502;1;300;
147;60501;1;60401;1;317;
148;60501;1;60601;1;417;
149;60502;1;61302;1;300;
150;60601;1;60701;1;247;
151;60602;1;60502;1;399;
152;60701;1;60101;1;593;
153;60701;1;60306;1;562;
154;60702;1;60602;1;223;
155;60702;1;60802;1;347;
156;60801;1;60701;1;339;
157;60802;1;61002;1;549;
158;60901;1;61201;1;542;
159;60902;1;61002;1;252;
160;61002;1;20002;1;1331;
161;61002;1;31302;1;273;
162;61002;1;31401;1;420;
163;61201;1;61301;1;283;
164;61202;1;60902;1;587;
165;61301;1;60501;1;338;
166;61302;1;61202;1;282;
167;61401;1;70101;1;383;
168;61401;1;70901;1;679;
169;61402;1;61502;1;264;
170;61402;1;70402;1;486;
171;61501;1;61401;1;461;
