;ID;KBEZ;LBEZ;ZBEZ
0;1004001;MiDo;Mi-Do 10min +  9C + Schule Winter;
1;1004002;MiDoFe;Mi bis Do 15 min + keine9C + Ferien;
2;1004003;MiDoSEFE;Mi-Do 15minTakt + keine9C+ Schule;
3;1004004;Fr;Freitag  10min + 9C + Schule Winter;
4;1004005;FrFe;Freitag 15 min + keine9C + Ferien;
5;1004006;FrSEFE;Fr 15minTakt + keine9C+ Schule;
6;1004007;Sa WI;Samstag;
7;1004008;So WI;Sonntag Winter;
8;1004010;FT Fron;Fronlaichnam ;
9;1004014;FrScfe;Fr 10min Takt +9C +Ferien;
10;1004015;MiDoScfe;Mi-Do 10min Takt +9C +Ferien;
11;1004016;MoDi;Mo-Di 10min + 9C +Schule Winter;
12;1004017;MoDiFe;Mo-Di 15 min + keine9C + Ferien;
13;1004018;MoDiSEFE;Mo-Di 15min + keine9C + Schule;
14;1004019;MoDiScfe;Mo-Di 10min Takt +9C +Ferien;
15;1004020;MoDi10;Mo-Di 10 + keine 9C +Schule;
16;1004021;MiDo10;Mi-Do 10 + keine 9C + Schule;
17;1004022;Fr10;Freitag 10min + keine 9C + Schule;
18;1004025;Fr10Fe;Freitag 10 Takt + keine 9C + Schulferien;
19;1004026;FT C H;Christi Himmelfahrt;
20;1004028;1.8.SA;1.8.SA;
21;1004038;MoDiSO;Mo-Di 10min + 9C +Schule Sommer;
22;1004039;MiDoSO;Mi-Do 10min +  9C + Schule Sommer;
23;1004040;So SO;Sonntag SOMMER;
24;1004041;Sa SO;Samstag Sommer;
25;1004042;FrSO;Freitag  10min + 9C + Schule Sommer;
26;1004043;MoDiSfSO;Mo-Di 10min Takt +9C +Ferien SOMMER;
27;1004044;MiDoSfSO;Mi-Do 10min Takt +9C +Ferien SOMMER;
28;1004045;FrSfSO;Fr 10min Takt +9C +Ferien SOMMER;
29;1004049;MoDiFeSO;Mo-Di 15 min + keine9C + Ferien SOMMER;
30;1004050;MiDoFeSO;Mi bis Do 15 min + keine9C + Ferien SOMM;
31;1004051;FrFeSO;Freitag 15 min + keine9C + Ferien SOMMER;
32;1004052;MoDO11SO;Montag Dienstag ohne 11 Sommerferien;
33;1004053;MiDO11SO;Mittwoch Donnerstag ohne 11 Sommerferien;
34;1004054;Fro11SO;Freitag ohne 11 Sommerferien;
35;1004058;MoDi15So;Mo-Di + 15 Min + keine 9C + Schule Somme;
36;1004059;MiDo15So;Mi-Do 15 Min + keine 9C + Schule Sommer;
37;1004061;MoDi10SO;Mo-Di 10 Min ohne 9C Schule Sommer;
38;1004062;MiDo10SO;Mi-Do 10 Min Takt ohne 9C Schule Sommer;
39;1004063;Fr10SO;10 Min Takt ohne 9C Schule Sommer;
40;1004066;3 Okt SA;3 Okt SA;
41;1004999;KarFr;Karfreitag;
