;FPL_ID;WUL_NR;LFD_NR;NR;LINIE;KURS_NR;FWG;FGR;ZIEL;TYP;VON_ORT_NR;VON_ORT_TYP;VON_VL;BIS_ORT_NR;BIS_ORT_TYP;BIS_VL;BEGINN;DAUER;VORG_FZNR;FZGT_NR;AUSSTIEG_ENDE;EXT_ID
0;1004007;1;1;1;1;;1;1;;0;10001;1;1;10002;1;24;21120;1920;;1;1;
1;1004007;2;1;2;1;;1;2;;0;10001;1;1;10002;1;24;23100;1920;;1;1;
2;1004007;3;1;3;1;;1;2;;0;10001;1;1;10002;1;24;24900;1920;;1;1;
3;1004007;4;1;4;1;;1;2;;0;10001;1;1;10002;1;24;26700;1920;;1;1;
4;1004007;5;1;5;1;;1;2;;0;10001;1;1;10002;1;24;28500;1920;;1;1;
5;1004007;6;1;6;1;;1;2;;0;10001;1;1;10002;1;24;30300;1920;;1;1;
6;1004007;7;1;7;1;;1;2;;0;10001;1;1;10002;1;24;32100;1920;;1;1;
7;1004007;8;1;8;1;;1;2;;0;10001;1;1;10002;1;24;33900;1920;;1;1;
8;1004007;9;1;9;1;;1;2;;0;10001;1;1;10002;1;24;35700;1920;;1;1;
9;1004007;10;1;10;1;;1;2;;0;10001;1;1;10002;1;24;37500;1920;;1;1;
10;1004007;11;1;11;1;;1;2;;0;10001;1;1;10002;1;24;39300;1920;;1;1;
11;1004007;12;1;12;1;;1;2;;0;10001;1;1;10002;1;24;41100;1920;;1;1;
12;1004007;13;1;13;1;;1;2;;0;10001;1;1;10002;1;24;42900;1920;;1;1;
13;1004007;14;1;14;1;;1;2;;0;10001;1;1;10002;1;24;44700;1920;;1;1;
14;1004007;15;1;15;1;;1;2;;0;10001;1;1;10002;1;24;46500;1920;;1;1;
15;1004007;16;1;16;1;;1;2;;0;10001;1;1;10002;1;24;47400;1920;;1;1;
16;1004007;17;1;17;1;;1;2;;0;10001;1;1;10002;1;24;48300;1920;;1;1;
17;1004007;18;1;18;1;;1;2;;0;10001;1;1;10002;1;24;49200;1920;;1;1;
18;1004007;19;1;19;1;;1;2;;0;10001;1;1;10002;1;24;50100;1920;;1;1;
19;1004007;20;1;20;1;;1;2;;0;10001;1;1;10002;1;24;51000;1920;;1;1;
20;1004007;21;1;21;1;;1;2;;0;10001;1;1;10002;1;24;51900;1920;;1;1;
21;1004007;22;1;22;1;;1;2;;0;10001;1;1;10002;1;24;52800;1920;;1;1;
22;1004007;23;1;23;1;;1;2;;0;10001;1;1;10002;1;24;53700;1920;;1;1;
23;1004007;24;1;24;1;;1;2;;0;10001;1;1;10002;1;24;54600;1920;;1;1;
24;1004007;25;1;25;1;;1;2;;0;10001;1;1;10002;1;24;55500;1920;;1;1;
25;1004007;26;1;26;1;;1;2;;0;10001;1;1;10002;1;24;56400;1920;;1;1;
26;1004007;27;1;27;1;;1;2;;0;10001;1;1;10002;1;24;57300;1920;;1;1;
27;1004007;28;1;28;1;;1;2;;0;10001;1;1;10002;1;24;58200;1920;;1;1;
28;1004007;29;1;29;1;;1;2;;0;10001;1;1;10002;1;24;59100;1920;;1;1;
29;1004007;30;1;30;1;;1;2;;0;10001;1;1;10002;1;24;60000;1920;;1;1;
30;1004007;31;1;31;1;;1;2;;0;10001;1;1;10002;1;24;60900;1920;;1;1;
31;1004007;32;1;32;1;;1;2;;0;10001;1;1;10002;1;24;61800;1920;;1;1;
32;1004007;33;1;33;1;;1;2;;0;10001;1;1;10002;1;24;62700;1920;;1;1;
33;1004007;34;1;34;1;;1;2;;0;10001;1;1;10002;1;24;63600;1920;;1;1;
34;1004007;35;1;35;1;;1;2;;0;10001;1;1;10002;1;24;64500;1920;;1;1;
35;1004007;36;1;36;1;;1;2;;0;10001;1;1;10002;1;24;65400;1920;;1;1;
36;1004007;37;1;37;1;;1;2;;0;10001;1;1;10002;1;24;66300;1920;;1;1;
37;1004007;38;1;38;1;;1;2;;0;10001;1;1;10002;1;24;67200;1920;;1;1;
38;1004007;39;1;39;1;;1;2;;0;10001;1;1;10002;1;24;68100;1920;;1;1;
39;1004007;40;1;40;1;;1;2;;0;10001;1;1;10002;1;24;69000;1920;;1;1;
40;1004007;41;1;41;1;;1;2;;0;10001;1;1;10002;1;24;69900;1920;;1;1;
41;1004007;42;1;42;1;;1;2;;0;10001;1;1;10002;1;24;70800;1920;;1;1;
42;1004007;43;1;43;1;;1;2;;0;10001;1;1;10002;1;24;71700;1920;;1;1;
43;1004007;44;1;44;1;;1;2;;0;10001;1;1;10002;1;24;72600;1920;;1;1;
44;1004007;45;1;45;1;;2;3;;0;10001;1;1;110002;1;16;86400;1080;;1;1;
45;1004007;46;1;46;1;;1;1;;0;10001;1;1;10002;1;24;18000;1380;;1;1;
46;1004007;47;1;47;1;;1;1;;0;10001;1;1;10002;1;24;19380;2340;;1;1;
47;1004007;48;1;48;1;;1;1;;0;10001;1;1;10002;1;24;22200;1740;;1;1;
48;1004007;49;1;49;1;;1;2;;0;10001;1;1;10002;1;24;24000;1920;;1;1;
49;1004007;50;1;50;1;;1;2;;0;10001;1;1;10002;1;24;27600;1920;;1;1;
50;1004007;51;1;51;1;;1;2;;0;10001;1;1;10002;1;24;29400;1920;;1;1;
51;1004007;52;1;52;1;;1;2;;0;10001;1;1;10002;1;24;31200;1920;;1;1;
52;1004007;53;1;53;1;;1;2;;0;10001;1;1;10002;1;24;33000;1920;;1;1;
53;1004007;54;1;54;1;;1;2;;0;10001;1;1;10002;1;24;34800;1920;;1;1;
54;1004007;55;1;55;1;;1;2;;0;10001;1;1;10002;1;24;36600;1920;;1;1;
55;1004007;56;1;56;1;;1;2;;0;10001;1;1;10002;1;24;38400;1920;;1;1;
56;1004007;57;1;57;1;;1;2;;0;10001;1;1;10002;1;24;40200;1920;;1;1;
57;1004007;58;1;58;1;;1;2;;0;10001;1;1;10002;1;24;42000;1920;;1;1;
58;1004007;59;1;59;1;;1;2;;0;10001;1;1;10002;1;24;43800;1920;;1;1;
59;1004007;60;1;60;1;;1;2;;0;10001;1;1;10002;1;24;45600;1920;;1;1;
60;1004007;61;1;61;1;;1;2;;0;10001;1;1;10002;1;24;25800;1920;;1;1;
61;1004007;62;1;62;1;;1;3;;0;10001;1;1;10002;1;24;75420;1680;;1;1;
62;1004007;63;1;63;1;;1;3;;0;10001;1;1;10002;1;24;77220;1680;;1;1;
63;1004007;64;1;64;1;;1;3;;0;10001;1;1;10002;1;24;79020;1680;;1;1;
64;1004007;65;1;65;1;;1;3;;0;10001;1;1;10002;1;24;80820;1680;;1;1;
65;1004007;66;1;66;1;;1;3;;0;10001;1;1;10002;1;24;82620;1680;;1;1;
66;1004007;67;1;67;1;;3;3;;0;110002;1;1;10002;1;9;88800;600;;1;1;
67;1004007;68;1;68;1;;1;3;;0;10001;1;1;10002;1;24;84420;1980;;1;1;
68;1004007;69;1;69;1;;1;3;;0;10001;1;1;10002;1;24;73620;1680;;1;1;
69;1004007;70;1;70;1;;2;3;;0;10001;1;1;110002;1;16;74520;1080;;1;1;
70;1004007;71;1;71;1;;2;3;;0;10001;1;1;110002;1;16;89700;1080;;2;1;
71;1004008;72;1;1;1;;1;3;;0;10001;1;1;10002;1;24;21420;1680;;1;1;
72;1004008;73;1;2;1;;1;3;;0;10001;1;1;10002;1;24;23220;1680;;1;1;
73;1004008;74;1;3;1;;1;3;;0;10001;1;1;10002;1;24;25020;1680;;1;1;
