;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;FGR;DAUER
0;6101;1;60901;1;1;60
1;6101;1;61002;1;1;60
2;10001;1;10301;1;1;60
3;10301;1;10401;1;1;60
4;10302;1;10002;1;1;60
5;10302;1;10004;1;1;120
6;10401;1;91701;1;1;60
7;10402;1;10302;1;1;60
8;20001;1;31101;1;1;60
9;20001;1;32221;1;1;180
10;20002;1;20502;1;1;60
11;20202;1;20302;1;1;60
12;20301;1;20201;1;1;60
13;20302;1;20401;1;1;60
14;20401;1;20301;1;1;60
15;20502;1;20602;1;1;60
16;20602;1;41202;1;1;120
17;30302;1;20002;1;1;300
18;30302;1;30912;1;1;180
19;30401;1;30302;1;1;120
20;30402;1;90102;1;1;240
21;30502;1;30402;1;1;60
22;30702;1;30502;1;1;60
23;30912;1;31101;1;1;60
24;31101;1;6101;1;1;60
25;31101;1;31301;1;1;60
26;31102;1;20002;1;1;120
27;31102;1;20202;1;1;120
28;31301;1;6101;1;1;60
29;31302;1;31102;1;1;60
30;31401;1;31901;1;1;60
31;31901;1;30702;1;1;120
32;32221;1;70601;1;1;180
33;40001;1;333333;4;1;360
34;40101;1;40001;1;1;60
35;40201;1;40101;1;1;60
36;40301;1;40201;1;1;120
37;40401;1;40301;1;1;60
38;40502;1;40401;1;1;60
39;41102;1;41002;1;1;60
40;41202;1;41102;1;1;60
41;50201;1;50101;1;1;120
42;50302;1;50201;1;1;60
43;50402;1;50302;1;1;60
44;50502;1;50402;1;1;60
45;60101;1;70404;1;1;60
46;60101;1;70701;1;1;120
47;60102;1;60306;1;1;60
48;60301;1;60305;1;1;120
49;60302;1;60402;1;1;60
50;60305;1;60101;1;1;60
51;60306;1;60302;1;1;60
52;60401;1;60301;1;1;60
53;60402;1;60502;1;1;60
54;60501;1;60401;1;1;60
55;60501;1;60601;1;1;120
56;60502;1;61302;1;1;60
57;60601;1;60701;1;1;60
58;60701;1;60101;1;1;60
59;60901;1;61201;1;1;120
60;60902;1;61002;1;1;60
61;61002;1;31302;1;1;60
62;61002;1;31401;1;1;60
63;61201;1;61301;1;1;60
64;61202;1;60902;1;1;120
65;61301;1;60501;1;1;60
66;61302;1;61202;1;1;60
67;61401;1;70101;1;1;60
68;61402;1;70402;1;1;120
69;64352;1;61402;1;1;60
70;70001;1;71001;1;1;120
71;70002;1;90802;1;1;120
72;70004;1;91002;1;1;60
73;70101;1;70901;1;1;120
74;70402;1;60102;1;1;60
75;70404;1;61401;1;1;60
76;70601;1;710101;1;1;60
77;70701;1;80700;1;1;60
78;70901;1;110201;1;1;60
79;70902;1;64352;1;1;60
80;71001;1;110201;1;1;120
81;71001;1;110801;1;1;60
82;71002;1;70002;1;1;120
83;71002;1;91302;1;1;60
84;71002;1;91402;1;1;120
85;80001;1;80301;1;1;60
86;80002;1;80202;1;1;60
87;80201;1;80001;1;1;60
88;80202;1;82802;1;1;60
89;80301;1;80401;1;1;60
90;80302;1;80002;1;1;60
91;80401;1;80501;1;1;60
92;80402;1;80302;1;1;60
93;80501;1;80601;1;1;60
94;80502;1;80402;1;1;60
95;80601;1;80701;1;1;60
96;80602;1;80502;1;1;60
97;80700;1;70601;1;1;60
98;80701;1;200011;1;1;120
99;80702;1;80602;1;1;60
100;81201;1;82901;1;1;60
101;81202;1;200012;1;1;60
102;82101;1;82301;1;1;180
103;82202;1;82102;1;1;120
