;DATUM;FPL_ID;DPL_ID;LBEZ
0;20.01.2020;1004016;;
1;21.01.2020;1004016;;
2;22.01.2020;1004001;;
3;23.01.2020;1004001;;
4;24.01.2020;1004004;;
5;25.01.2020;1004007;;
6;26.01.2020;1004008;;
7;27.01.2020;1004016;;
8;28.01.2020;1004016;;
9;29.01.2020;1004001;;
10;30.01.2020;1004001;;
11;31.01.2020;1004004;;
12;01.02.2020;1004007;;
13;02.02.2020;1004008;;
14;03.02.2020;1004016;;
15;04.02.2020;1004016;;
16;05.02.2020;1004001;;
17;06.02.2020;1004001;;
18;07.02.2020;1004004;;
19;08.02.2020;1004007;;
20;09.02.2020;1004008;;
21;10.02.2020;1004016;;
22;11.02.2020;1004016;;
23;12.02.2020;1004001;;
24;13.02.2020;1004001;;
25;14.02.2020;1004004;;
26;15.02.2020;1004007;;
27;16.02.2020;1004008;;
28;17.02.2020;1004020;;
29;18.02.2020;1004020;;
30;19.02.2020;1004021;;
31;20.02.2020;1004021;;
32;21.02.2020;1004025;;
33;22.02.2020;1004007;;
34;23.02.2020;1004008;;
35;24.02.2020;1004017;;
36;25.02.2020;1004017;;
37;26.02.2020;1004002;;
38;27.02.2020;1004002;;
39;28.02.2020;1004005;;
40;29.02.2020;1004007;;
41;01.03.2020;1004008;;
42;02.03.2020;1004018;;
43;03.03.2020;1004018;;
44;04.03.2020;1004003;;
45;05.03.2020;1004003;;
46;06.03.2020;1004006;;
47;07.03.2020;1004007;;
48;08.03.2020;1004008;;
49;09.03.2020;1004018;;
50;10.03.2020;1004018;;
51;11.03.2020;1004003;;
52;12.03.2020;1004003;;
53;13.03.2020;1004006;;
54;14.03.2020;1004007;;
55;15.03.2020;1004008;;
56;16.03.2020;1004018;;
57;17.03.2020;1004018;;
58;18.03.2020;1004003;;
59;19.03.2020;1004003;;
60;20.03.2020;1004006;;
61;21.03.2020;1004007;;
62;22.03.2020;1004008;;
63;23.03.2020;1004018;;
64;24.03.2020;1004018;;
65;25.03.2020;1004003;;
66;26.03.2020;1004003;;
67;27.03.2020;1004006;;
68;28.03.2020;1004007;;
69;29.03.2020;1004008;;
70;30.03.2020;1004018;;
71;31.03.2020;1004018;;
72;01.04.2020;1004003;;
73;02.04.2020;1004003;;
74;03.04.2020;1004006;;
75;04.04.2020;1004007;;
76;05.04.2020;1004008;;
77;06.04.2020;1004017;;
78;07.04.2020;1004017;;
79;08.04.2020;1004002;;
80;09.04.2020;1004002;;
81;10.04.2020;1004999;;Karfreitag
82;11.04.2020;1004007;;
83;12.04.2020;1004008;;
84;13.04.2020;1004008;;Ostermontag
85;14.04.2020;1004019;;
86;15.04.2020;1004015;;
87;16.04.2020;1004015;;
88;17.04.2020;1004014;;
89;18.04.2020;1004007;;
90;19.04.2020;1004008;;
91;20.04.2020;1004016;;
92;21.04.2020;1004016;;
93;22.04.2020;1004001;;
94;23.04.2020;1004001;;
95;24.04.2020;1004004;;
96;25.04.2020;1004007;;
97;26.04.2020;1004008;;
98;27.04.2020;1004016;;
99;28.04.2020;1004016;;
100;29.04.2020;1004001;;
101;30.04.2020;1004001;;
102;01.05.2020;1004999;;Mai-Feiertag
103;02.05.2020;1004007;;
104;03.05.2020;1004008;;
105;04.05.2020;1004016;;
106;05.05.2020;1004016;;
107;06.05.2020;1004001;;
108;07.05.2020;1004001;;
109;08.05.2020;1004004;;
110;09.05.2020;1004007;;
111;10.05.2020;1004008;;
112;11.05.2020;1004016;;
113;12.05.2020;1004016;;
114;13.05.2020;1004001;;
115;14.05.2020;1004001;;
116;15.05.2020;1004004;;
117;16.05.2020;1004007;;
118;17.05.2020;1004008;;
119;18.05.2020;1004016;;
120;19.05.2020;1004016;;
121;20.05.2020;1004001;;
122;21.05.2020;1004026;;Christi Himmelfahrt
123;22.05.2020;1004014;;
124;23.05.2020;1004007;;
125;24.05.2020;1004008;;
126;25.05.2020;1004016;;
127;26.05.2020;1004016;;
128;27.05.2020;1004001;;
129;28.05.2020;1004001;;
130;29.05.2020;1004004;;
131;30.05.2020;1004007;;
132;31.05.2020;1004040;;
133;01.06.2020;1004040;;Pfingstmontag
