Maßnahmennummer;Maßnahmenkategorie;Maßnahmentitel;Beginn
1;Gebäude und Energieversorgung;Beleuchtungsanlagen städtischer Gebäudebestand Pilotobjekt Verwaltungsgebäude Laube;bereits begonnen
2;Gebäude und Energieversorgung;Photovoltaik-Anlagen auf WOBAK-Gebäuden;bereits begonnen
3;Gebäude und Energieversorgung;Energiespar-Contracting für 4 Schulgebäude;bereits begonnen
4;Gebäude und Energieversorgung;Smarte Straßenbeleuchtung – Pilotprojekt Webersteig bis Schänzle;bereits begonnen
5;Gebäude und Energieversorgung;Heizzentralen/Nahwärmeinseln fordern und selbst umsetzen;bereits begonnen
6;Gebäude und Energieversorgung;Solaroffensive für den Gebäudebestand;bereits begonnen
7;Gebäude und Energieversorgung;50/50-Projekte für kommunale Gebäude;kurzfristig 2020
8;Gebäude und Energieversorgung;Beschleunigte Erneuerung Heizungsanlagen (Vergabe Ingenieurbüro);kurzfristig 2020
9;Gebäude und Energieversorgung;Einführung Energiemanagement für städtische Gebäude;kurzfristig 2020
10;Gebäude und Energieversorgung;Sanierungsfahrplan Gebäude (WOBAK+Stadt);kurzfristig 2020
11;Gebäude und Energieversorgung;Absichtserklärung nachhaltiges Bauen + Workshop (inkl. graue Energie);kurzfristig 2020
12;Gebäude und Energieversorgung;Integriertes Quartierskonzept Industriegebiet (u. a. Sanierungsanreize);kurzfristig 2020
13;Gebäude und Energieversorgung;Gewerbeflächen/Sanierungsmanagement Industriegebiet;mittelfristig 2021/22
14;Gebäude und Energieversorgung;Contractingangebote auch für Privathaushalte;mittelfristig 2021/22
15;Gebäude und Energieversorgung;Wärmenetze (insb. in Gebieten mit hoher Wärmebedarfsdichte);langfristig 2022 ff
16;Stadtplanung und Mobilität;Klimaneutrale Energieversorgung von Baugebieten/Sektorenkopplung (Planung);bereits begonnen
17;Stadtplanung und Mobilität;Alternative Bus- und Fährantriebe;bereits begonnen
18;Stadtplanung und Mobilität;Verstärkte Bewerbung von Energieberatungsangeboten;bereits begonnen
19;Stadtplanung und Mobilität;Parken verteuern;kurzfristig 2020
20;Stadtplanung und Mobilität;Linksrheinisch Einfahrtsbeschränkungen/ Verkehrsmanagementsystem;kurzfristig 2020
21;Stadtplanung und Mobilität;Zentralisierung Dienstwagenfuhrpark/Mobilität der Verwaltung;kurzfristig 2020
22;Stadtplanung und Mobilität;Öffentliche Parkplätze mit Lademöglichkeit;kurzfristig 2020
23;Stadtplanung und Mobilität;Förderprogramm zur Autoabschaffung (z. B. kostenlose BusJahreskarte);kurzfristig 2020
24;Stadtplanung und Mobilität;Stadtradeln-Kampagne 2020;kurzfristig 2020
25;Stadtplanung und Mobilität;TINK-Station am Parkplatz „Bodenseeforum“;kurzfristig 2020
26;Stadtplanung und Mobilität;Aktionstage autofreier Sankt-Stephans-Platz 2020;kurzfristig 2020
27;Stadtplanung und Mobilität;Kampagne für größte private Energieverbraucher (gezielte Beratung);mittelfristig 2021/22
28;Stadtplanung und Mobilität;Öffentliches Fahrradparken in Altbauquartieren;mittelfristig 2021/22
29;Stadtplanung und Mobilität;Eichhornstraße/H. Hesse-Weg: Ausbau Rad-/Gehweg;mittelfristig 2021/22
30;Stadtplanung und Mobilität;„Autofreie“ Altstadt;langfristig 2022 ff
31;Wirken nach außen;Altstadtlauf kostenloser Busverkehr;bereits begonnen
32;Wirken nach außen;"Kriterienkatalog ""klimafreundliche Veranstaltungen""";bereits begonnen
33;Wirken nach außen;Kommunikationskonzept/-kampagne Klimaschutz;bereits begonnen
34;Wirken nach außen;Rubrik zum Klimaschutz im Amtsblatt;bereits begonnen
35;Wirken nach außen;Klimabürgerrat;bereits begonnen
36;Wirken nach außen;"Kleinmaßnahmen, z. B. ""klimafit""-VHS-Kurs";kurzfristig 2020
37;Wirken nach außen;Thematische Ausrichtung von Veranstaltungen am Klimaschutz (Lange Nacht der Wissenschaft, Jahr der Wirtschaft und Wissenschaft);kurzfristig 2020
38;Wirken nach außen;Expertenrat;kurzfristig 2020
39;Wirken nach außen;Öffentlichkeitswirksame Veranstaltung + Ausstellung;kurzfristig 2020
40;Wirken nach außen;Projekt „Cool down JTB“ - Klimaschutzprojekt für Jugendliche im Berchengebiet;kurzfristig 2020
41;Wirken nach außen;"Projekt ""Wir im Quartier – Klimawandel hier und dort""";kurzfristig 2020
42;Wirken nach außen;"""Netzwerk Klimastädte“ (Vernetzung mit anderen Städten)";kurzfristig 2020
43;Wirken nach außen;Ökologische Modernisierung Campingplatz Litzelstetten;kurzfristig 2020
44;Wirken nach außen;Bürgerdialog Bioökonomie (Bioökonomie: Wirtschaften mit nachwachsenden statt fossilen Rohstoffen);kurzfristig 2020
45;Wirken nach außen;Förderung der Expertise durch Solarlago;kurzfristig 2020
46;Wirken nach innen;Atmosfair für die Stadt Konstanz (unvermeidbare Flugreisen);bereits begonnen
47;Wirken nach innen;Workshop + Leitfaden klimafreundliche Vergabekriterien;kurzfristig 2020
48;Wirken nach innen;Nachhaltige Gemeinschaftsverpflegung;kurzfristig 2020
49;Wirken nach innen;Übersicht: Stromverbrauch in der IT + Optimierungspotenziale;kurzfristig 2020
50;Wirken nach innen;Einführung digitales Dokumentenmanagementsystem (mittelfristig Papierersatz);kurzfristig 2020
51;Wirken nach innen;Sonderaktionen verwaltungsintern (Sensibilisierung, Motivation);kurzfristig 2020
52;Wirken nach innen;"Gründung eines ""Konstanzer Klimafonds"" - Einzahlungen für Klimaschutz";kurzfristig 2020
53;Wirken nach innen;CO2-neutrales Rechenzentrum;langfristig 2022 ff
54;Beteiligungen;Anschaffung von 6 Elektrobussen, betrieben durch Solarstrom, Stadtwerke Konstanz (SWK);.
55;Beteiligungen;Solaroffensive SWK;.
56;Beteiligungen;Aktionsplan Stadtmobilität SWK;.
57;Beteiligungen;Neubau Fährschiff 14: LNG-Fähre SWK;.
58;Beteiligungen;Errichtung von Ladestationen für Elektromobilität SWK, Spitalstiftung;.
59;Beteiligungen;Abwasserwärmenutzungsprojekte wie bspw. Reichenauerstraße 39, Laubenhof und weitere in Planung, SWK und WOBAK;.
60;Beteiligungen;Energieversorgung Brückenkopf Nord (Abwasserwärme), SWK;.
61;Beteiligungen;Erweiterung PV-Anlage auf dem Bodenseeforum Konstanz, SWK und Bodenseeforum (BFK);.
62;Beteiligungen;LED-Konzept BFK;.
63;Beteiligungen;Erstellung gebäudebezogener Sanierungsfahrpläne, WOBAK;.
64;Beteiligungen;Energiemanagementsystem im Schwaketenbad, Bädergesellschaft;.
65;Beteiligungen;Mehrweg statt Einweg, Entsorgungsbetriebe (EBK);.
66;Beteiligungen;Ausbau der zentralen Wärmeversorgung auf dem Betriebsgelände, EBK;.
67;Beteiligungen;Energiecheck Abwasserpumpwerke, EBK;.
68;Beteiligungen;Photovoltaik-Ausbau, EBK;.
69;Beteiligungen;Ökologisches Konzept CP Klausenhorn & Litzelstetten, Marketing und Tourismus GmbH (MTK);.
70;Beteiligungen;Veranstaltungsbezogene kostenfreie Bustickets zur Stärkung des ÖPNV, MTK;.
71;Beteiligungen;Umstellung Verteildienst in der Innenstadt auf neu angeschafftes E-Lastenrad, MTK;.
