,Zeit,FahrradbrueckeFahrradbruecke,FahrradbrueckeFahrradbruecke stadteinwärts Fahrräder,FahrradbrueckeFahrradbruecke stadtauswärts Fahrräder,Symbol Wetter,Temperatur (°C),Gefühlte Temperatur (°C),Regen (mm),
,2021-01-01 00:00:00,4,2,2,Leichter Schneefall,-1,-3,0,
,2021-01-01 01:00:00,9,4,5,Leichter Schneefall,-1,-2,0,
,2021-01-01 02:00:00,8,7,1,Leicht bewölkt,-1,-2,0,
,2021-01-01 03:00:00,6,1,5,Leicht bewölkt,-1,-2,0,
,2021-01-01 04:00:00,9,5,4,Leicht bewölkt,-1,-2,0,
,2021-01-01 05:00:00,32,15,17,Mäßiger Schneefall,-1,-2,0,
,2021-01-01 06:00:00,14,9,5,Mäßiger Schneefall,-1,-2,0,
,2021-01-01 07:00:00,11,6,5,Mäßiger Schneefall,-1,-1,0,
,2021-01-01 08:00:00,14,7,7,Bedeckt,0,-1,0,
,2021-01-01 09:00:00,37,18,19,Bedeckt,0,0,0,
,2021-01-01 10:00:00,52,24,28,Bedeckt,1,1,0,
,2021-01-01 11:00:00,88,44,44,Bedeckt,2,1,0,
,2021-01-01 12:00:00,104,43,61,Bedeckt,2,2,0,
,2021-01-01 13:00:00,124,41,83,Bedeckt,2,1,0,
,2021-01-01 14:00:00,184,96,88,Leicht bewölkt,2,0,0,
,2021-01-01 15:00:00,189,92,97,Leicht bewölkt,1,0,0,
,2021-01-01 16:00:00,151,68,83,Leicht bewölkt,1,-1,0,
,2021-01-01 17:00:00,120,61,59,Leicht bewölkt,0,-2,0,
,2021-01-01 18:00:00,77,39,38,Leicht bewölkt,-1,-3,0,
,2021-01-01 19:00:00,116,64,52,Leicht bewölkt,-2,-4,0,
,2021-01-01 20:00:00,25,7,18,Leicht bewölkt,-4,-5,0,
,2021-01-01 21:00:00,13,5,8,Leicht bewölkt,-5,-6,0,
,2021-01-01 22:00:00,5,3,2,Leicht bewölkt,-4,-5,0,
,2021-01-01 23:00:00,6,3,3,Bedeckt,-2,-4,0,
,2021-01-02 00:00:00,4,3,1,Bedeckt,-1,-4,0,
,2021-01-02 01:00:00,2,2,0,Bedeckt,-1,-4,0,
,2021-01-02 02:00:00,3,3,0,Bedeckt,-1,-4,0,
,2021-01-02 03:00:00,1,0,1,Bedeckt,-1,-4,0,
,2021-01-02 04:00:00,3,1,2,Bedeckt,-1,-4,0,
,2021-01-02 05:00:00,15,10,5,Leicht bewölkt,-1,-5,0,
,2021-01-02 06:00:00,20,12,8,Leicht bewölkt,-2,-5,0,
,2021-01-02 07:00:00,26,20,6,Leicht bewölkt,-1,-5,0,
,2021-01-02 08:00:00,51,32,19,Bewölkt,-1,-5,0,
,2021-01-02 09:00:00,102,55,47,Bewölkt,-1,-5,0,
,2021-01-02 10:00:00,202,93,109,Bewölkt,0,-4,0,
,2021-01-02 11:00:00,243,115,128,Leicht bewölkt,0,-3,0,
,2021-01-02 12:00:00,262,135,127,Leicht bewölkt,1,-3,0,
,2021-01-02 13:00:00,213,86,127,Leicht bewölkt,1,-3,0,
,2021-01-02 14:00:00,258,121,137,Leicht bewölkt,1,-3,0,
,2021-01-02 15:00:00,237,112,125,Leicht bewölkt,1,-3,0,
,2021-01-02 16:00:00,215,117,98,Leicht bewölkt,1,-3,0,
,2021-01-02 17:00:00,166,65,101,Leicht bewölkt,1,-3,0,
,2021-01-02 18:00:00,128,71,57,Leicht bewölkt,0,-3,0,
,2021-01-02 19:00:00,138,76,62,Leicht bewölkt,0,-2,0,
,2021-01-02 20:00:00,48,25,23,Bedeckt,0,-2,0,
,2021-01-02 21:00:00,17,7,10,Bedeckt,0,-1,0,
,2021-01-02 22:00:00,10,4,6,Bedeckt,0,-2,0,
,2021-01-02 23:00:00,11,7,4,Leichter Schneefall,-1,-2,0,
,2021-01-03 00:00:00,6,3,3,Leichter Schneefall,-2,-3,0,
,2021-01-03 01:00:00,1,1,0,Leichter Schneefall,-1,-2,0,
,2021-01-03 02:00:00,0,0,0,Mäßiger Schneefall,-1,-2,0,
,2021-01-03 03:00:00,1,1,0,Mäßiger Schneefall,0,-2,0,
,2021-01-03 04:00:00,2,0,2,Mäßiger Schneefall,0,-2,0,
,2021-01-03 05:00:00,7,3,4,Mäßiger Schneefall,0,-2,0,
,2021-01-03 06:00:00,13,9,4,Mäßiger Schneefall,0,-2,0,
,2021-01-03 07:00:00,12,6,6,Mäßiger Schneefall,0,-1,0,
,2021-01-03 08:00:00,33,15,18,Leichter Nebel,0,-1,0,
,2021-01-03 09:00:00,64,34,30,Leichter Nebel,0,-1,0,
,2021-01-03 10:00:00,108,47,61,Leichter Nebel,1,0,0,
,2021-01-03 11:00:00,116,47,69,Mäßiger Schneefall,1,0,0,
,2021-01-03 12:00:00,190,99,91,Mäßiger Schneefall,2,1,0,
,2021-01-03 13:00:00,179,76,103,Mäßiger Schneefall,2,1,0,
,2021-01-03 14:00:00,204,90,114,Bedeckt,2,1,0,
,2021-01-03 15:00:00,180,79,101,Bedeckt,2,1,0,
,2021-01-03 16:00:00,209,114,95,Bedeckt,1,1,0,
,2021-01-03 17:00:00,178,91,87,Leichter Schneefall,1,1,0,
,2021-01-03 18:00:00,126,62,64,Leichter Schneefall,1,0,0,
,2021-01-03 19:00:00,130,69,61,Leichter Schneefall,1,0,0,
,2021-01-03 20:00:00,52,30,22,Bedeckt,0,0,0,
,2021-01-03 21:00:00,18,7,11,Bedeckt,0,0,0,
,2021-01-03 22:00:00,9,4,5,Bedeckt,0,0,0,
,2021-01-03 23:00:00,6,2,4,Bedeckt,0,0,0,
,2021-01-04 00:00:00,5,3,2,Bedeckt,0,0,0,
,2021-01-04 01:00:00,1,0,1,Bedeckt,-1,-1,0,
,2021-01-04 02:00:00,1,1,0,Leicht bewölkt,-1,-1,0,
,2021-01-04 03:00:00,2,0,2,Leicht bewölkt,-2,-2,0,
,2021-01-04 04:00:00,7,4,3,Leicht bewölkt,-2,-2,0,
,2021-01-04 05:00:00,22,15,7,Leicht bewölkt,-2,-2,0,
,2021-01-04 06:00:00,99,64,35,Leicht bewölkt,-3,-3,0,
,2021-01-04 07:00:00,173,109,64,Leicht bewölkt,-2,-2,0,
,2021-01-04 08:00:00,208,136,72,Leicht bewölkt,-1,-1,0,
,2021-01-04 09:00:00,203,113,90,Leicht bewölkt,-1,-1,0,
,2021-01-04 10:00:00,191,91,100,Leicht bewölkt,0,0,0,
,2021-01-04 11:00:00,261,133,128,Leicht bewölkt,1,0,0,
,2021-01-04 12:00:00,299,132,167,Leicht bewölkt,2,1,0,
,2021-01-04 13:00:00,290,132,158,Leicht bewölkt,1,0,0,
,2021-01-04 14:00:00,337,167,170,Leicht bewölkt,1,-1,0,
,2021-01-04 15:00:00,331,164,167,Leicht bewölkt,1,-1,0,
,2021-01-04 16:00:00,325,135,190,Leicht bewölkt,1,-2,0,
,2021-01-04 17:00:00,337,129,208,Leicht bewölkt,0,-2,0,
,2021-01-04 18:00:00,216,95,121,Leicht bewölkt,0,-3,0,
,2021-01-04 19:00:00,179,81,98,Leicht bewölkt,0,-3,0,
,2021-01-04 20:00:00,67,33,34,Bedeckt,-1,-3,0,
,2021-01-04 21:00:00,27,8,19,Bedeckt,-1,-3,0,
,2021-01-04 22:00:00,15,6,9,Bedeckt,-2,-4,0,
,2021-01-04 23:00:00,5,0,5,Bewölkt,-2,-4,0,
,2021-01-05 00:00:00,5,2,3,Bewölkt,-3,-5,0,
,2021-01-05 01:00:00,4,2,2,Bewölkt,-3,-5,0,
,2021-01-05 02:00:00,6,4,2,Bedeckt,-2,-4,0,
,2021-01-05 03:00:00,3,1,2,Bedeckt,-2,-4,0,
,2021-01-05 04:00:00,4,2,2,Bedeckt,-2,-4,0,
,2021-01-05 05:00:00,32,22,10,Bedeckt,-2,-3,0,
,2021-01-05 06:00:00,83,49,34,Bedeckt,-1,-2,0,
,2021-01-05 07:00:00,189,129,60,Bedeckt,-1,-2,0,
,2021-01-05 08:00:00,256,160,96,Bedeckt,-1,-1,0,
,2021-01-05 09:00:00,231,139,92,Bedeckt,-1,-1,0,
,2021-01-05 10:00:00,308,170,138,Bedeckt,0,0,0,
,2021-01-05 11:00:00,370,183,187,Bedeckt,1,1,0,
